ID,Họ Tên,Chức Vụ,Địa Điểm,Số Điện Thoại,Lương (VNĐ),Trạng thái
E050,Nguyễn Thanh Bình,Đầu bếp,Nha Trang,0912223380,18000000,Đang làm
E051,Trần Tuấn Anh,Kỹ thuật,Đà Nẵng,0912223381,14200000,Đang làm
E052,Lê Minh Ngọc,Trưởng phòng Nhân sự,Vũng Tàu,0912223382,24000000,Đang làm
E053,Phạm Đình Luật,Bảo vệ,Hội An,0912223383,8500000,Đang làm
E054,Bùi Văn Quyết,Lao công,Quy Nhơn,0912223384,7500000,Đang làm
E055,Đặng Cát Tường,Buồng phòng,Huế,0912223385,8500000,Nghỉ phép
E056,Vũ Duy Mạnh,Lễ tân,Cần Thơ,0912223386,11000000,Đang làm
E057,Nguyễn Hồng Ánh,Lao công,Hải Phòng,0912223387,7500000,Đang làm
E058,Trần Văn Chung,Bảo vệ,Phan Thiết,0912223388,8000000,Đang làm
E059,Lê Hoài Nam,Đầu bếp,Thanh Hóa,0912223389,16000000,Đang làm
E060,Phạm Thị Lam,Buồng phòng,Đà Lạt,0912223390,9000000,Đang làm
E061,Hoàng Quốc Anh,Kỹ thuật,Hồ Chí Minh,0912223391,15000000,Đang làm
E062,Vũ Hà Phương,Lễ tân,Hà Nội,0912223392,12500000,Đang làm
E063,Đỗ Tuấn Minh,Bảo vệ,Hạ Long,0912223393,8500000,Đang làm
E064,Nguyễn Văn Đạt,Đầu bếp,Phú Quốc,0912223394,20000000,Đang làm
E065,Trần Thu Trang,Quản lý Khách sạn,Nha Trang,0912223395,30000000,Đang làm
E066,Lê Hồng Sơn,Kỹ thuật,Đà Nẵng,0912223396,13500000,Đang làm
E067,Phạm Văn Lâm,Bảo vệ,Vũng Tàu,0912223397,8500000,Đang nghỉ
